[2019-03-27 12:42:03] slim-bookshelf-api.INFO: Processing home action [] {"uid":"7ac99d3"}
[2019-03-27 12:46:23] slim-bookshelf-api.INFO: Processing home action [] {"uid":"f8e938b"}
[2019-03-27 12:49:13] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"d54888f"}
[2019-03-27 12:49:19] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"6ae1c41"}
[2019-03-27 12:49:23] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"caa68e5"}
[2019-03-27 12:49:33] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"82317df"}
[2019-03-28 12:58:51] slim-bookshelf-api.INFO: Processing home action [] {"uid":"04d81af"}
[2019-03-28 13:02:11] slim-bookshelf-api.INFO: Processing home action [] {"uid":"befc857"}
[2019-03-28 13:04:37] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"5debd11"}
[2019-03-28 13:20:18] slim-bookshelf-api.INFO: Processing home action [] {"uid":"a246d39"}
[2019-03-28 13:21:58] slim-bookshelf-api.INFO: Processing home action [] {"uid":"cc8f924"}
[2019-03-28 13:22:40] slim-bookshelf-api.INFO: Processing home action [] {"uid":"a7a7e5d"}
[2019-03-28 13:39:36] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"2fc2f06"}
[2019-03-28 13:39:56] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"68242dd"}
[2019-03-28 13:43:52] slim-bookshelf-api.INFO: Listing all authors [] {"uid":"551f860"}
[2019-03-28 13:44:47] slim-bookshelf-api.INFO: Listing all authors [] {"uid":"f97ff4c"}
[2019-04-08 17:22:31] maishapay-api.INFO: Processing '/' route [] {"uid":"a6b441c"}
[2019-04-08 17:22:53] maishapay-api.INFO: Processing home action [] {"uid":"30264fb"}
[2019-04-25 12:45:51] maishapay-api.INFO: Processing home action [] {"uid":"4b92b94"}
[2019-04-25 12:47:55] maishapay-api.INFO: Processing home action [] {"uid":"1dee896"}
[2019-04-25 12:51:57] maishapay-api.INFO: Processing '/' route [] {"uid":"b242bd4"}
[2019-04-25 12:52:03] maishapay-api.INFO: Processing home action [] {"uid":"9dbbd24"}
[2019-04-25 15:53:36] maishapay-api.INFO: Listing all customers [] {"uid":"f45fd04"}
[2019-04-25 16:01:48] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"password","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"6d90919"}
[2019-04-25 16:16:53] maishapay-api.INFO: Processing home action [] {"uid":"3c4a54b"}
[2019-04-25 16:21:34] maishapay-api.INFO: Processing home action [] {"uid":"5b8f819"}
[2019-04-25 16:42:39] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"9fb252c"}
[2019-04-25 16:50:26] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"108d0f0"}
[2019-04-25 16:50:26] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"3e2ee6f"}
[2019-04-25 16:50:27] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"37d7101"}
[2019-04-25 16:50:27] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"cc606a7"}
[2019-04-25 16:50:27] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"7d79071"}
[2019-04-25 16:50:27] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"4e034ca"}
[2019-04-25 16:50:28] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"54f4ea7"}
[2019-04-25 16:50:28] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"1ee3935"}
[2019-04-25 16:50:28] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"48686d9"}
[2019-04-25 16:50:28] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"ca501e5"}
[2019-04-25 16:50:29] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"8e8988a"}
[2019-04-25 16:51:20] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"c3297c2"}
[2019-04-25 16:51:21] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"3198d0d"}
[2019-04-25 16:51:22] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"452195c"}
[2019-04-25 16:51:44] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"2a17313"}
